event_id,category,type,URL,IP,domain,HASH,comment,attribute_tag
10377,Network activity,domain,,,vanuboutst.cf,,,
10377,Network activity,domain,,,vanuboutst.ml,,,
10377,Network activity,domain,,,wpojgbjffy444.cf,,,
10377,Network activity,domain,,,yjksvjdbjdbjjda.cf,,,
10377,Network activity,domain,,,yjksvjdbjdbjjda.ga,,,
10377,Network activity,domain,,,yjksvjdbjdbjjda.ml,,,
10377,Network activity,domain,,,yjksvjdbjdbjjda.tk,,,
10386,Network activity,domain,,,amos-malware.ru,,,
10401,Network activity,domain,,,com-change.info,,,Activity Indicator
10401,Network activity,domain,,,mainchksrh.com,,,Activity Indicator
10401,Network activity,domain,,,mitmail.tech,,,Activity Indicator
10401,Network activity,domain,,,newshare.online,,,Activity Indicator
10401,Network activity,domain,,,yonsei.lol,,,Activity Indicator
10417,Network activity,domain,,,mwgq.net,,,
10417,Network activity,domain,,,eznb.net,,,
10417,Network activity,domain,,,o7car.com,,,
